actor_name,tier
Kane Hodder,1
Corbin Bernsen,1
Christopher Meloni,1
Josh Charles,1
Nicholas Gonzalez,1
Campbell Scott,1
Topher Grace,1
Isabella Rossellini,1
Julie Benz,1
Alex Pettyfer,1
Jennifer Esposito,1
Tamala Jones,1
James Ransone,1
Alia Shawkat,1
Tony Cox,1
Kimberly Elise,1
James Mason,1
Jack McBrayer,1
Madeline Carroll,1
Kurt Fuller,1
Ronny Cox,1
Chris Mulkey,1
Margot Kidder,1
Ashley Scott,1
Chris Bauer,1
Molly Shannon,1
Mary Elizabeth Mastrantonio,1
Ioan Gruffudd,1
Beau Bridges,1
Justin Theroux,1
Don Johnson,1
Celia Weston,1
Dylan Minnette,1
Lochlyn Munro,1
Gena Rowlands,1
Ayelet Zurer,1
Kelli Garner,1
Macaulay Culkin,1
Oprah Winfrey,1
Roddy McDowall,1
Isabelle Huppert,1
Martin Kove,1
Dane Cook,1
Dan Fogler,1
Alice Braga,1
Michael O'Neill,1
Zack Ward,1
Kris Marshall,1
Jaime King,1
Carol Kane,1
Bruce Spence,1
Bridgette Wilson-Sampras,1
Aaron Yoo,1
Andre Braugher,1
Richard Roxburgh,1
Melanie Griffith,1
Dash Mihok,1
Patrick Fugit,1
Elizabeth Perkins,1
Danny Woodburn,1
Noah Taylor,1
Zach Gilford,1
Miriam Margolyes,1
Fred Ward,1
Tracy Morgan,1
Ned Beatty,1
Marley Shelton,1
Tate Donovan,1
Anne Bancroft,1
Adam Baldwin,1
Bai Ling,1
Archie Panjabi,1
David Keith,1
Jim Gaffigan,1
John Savage,1
Charles Napier,1
Bailee Madison,1
Esai Morales,1
Sid Haig,1
Katy Mixon,1
Jurnee Smollett-Bell,1
Robert Shaw,1
Lily Tomlin,1
Cameron Bright,1
Daniel Stern,1
Andy Lau,1
Paul Schneider,1
Dwight Yoakam,1
Saffron Burrows,1
Jane Fonda,1
Jason Robards,1
Crystal Lowe,1
James Brolin,1
Andrea Martin,1
Judy Davis,1
Lynn Redgrave,1
Brian Doyle-Murray,1
Karl Malden,1
Bradley Whitford,1
Dexter Fletcher,1
Henry Thomas,1
Seth MacFarlane,1
Haley Bennett,1
Matthew Perry,1
Busy Philipps,1
Meat Loaf,1
Powers Boothe,1
Nadine Velazquez,1
Lena Dunham,1
Dean Stockwell,1
Gabourey Sidibe,1
Michael Berryman,1
Tony Chiu Wai Leung,1
John Doman,1
Zoe Kazan,1
Robert Davi,1
Mira Sorvino,1
Rod Steiger,1
Barbara Hershey,1
Wilford Brimley,1
Tom Noonan,1
Daniel Mays,1
Clarence Williams III,1
Danny Dyer,1
Raymond Cruz,1
Sydney Pollack,1
Sid Caesar,1
Omari Hardwick,1
Geraldine Chaplin,1
Shea Whigham,1
Joey Lauren Adams,1
Nia Vardalos,1
Lynn Cohen,1
François Cluzet,1
Zachary Gordon,1
David Arquette,1
Tatyana Ali,1
Noureen DeWulf,1
Laurence Olivier,1
Dan Hedaya,1
Brian Geraghty,1
Jason Mewes,1
Alison Brie,1
Walter Koenig,1
Rachel Blanchard,1
Ricky Schroder,1
Mary McCormack,1
Kyra Sedgwick,1
Erika Christensen,1
Cathy Moriarty,1
Mia Kirshner,1
Steven Mackintosh,1
Wendell Pierce,1
Essence Atkins,1
Leighton Meester,1
Shawn Roberts,1
John Amos,1
Ryan O'Neal,1
Nicole Beharie,1
Greta Gerwig,1
Steve Howey,1
Gregg Henry,1
LeVar Burton,1
Willie Garson,1
Ken Marino,1
Embeth Davidtz,1
J.T. Walsh,1
Aimee Garcia,1
Muse Watson,1
Mia Farrow,1
Jonathan Winters,1
David Costabile,1
Alexandra Maria Lara,1
Tim Meadows,1
Dagmara Dominczyk,1
Austin Pendleton,1
Maury Chaykin,1
Lou Taylor Pucci,1
Celia Imrie,1
Joan Chen,1
Agnes Bruckner,1
Larenz Tate,1
Louis Lombardi,1
Richard Tyson,1
Geoff Stults,1
Peter Greene,1
Max Ryan,1
Rupert Graves,1
Laura Harring,1
Lupe Ontiveros,1
Gary Farmer,1
