director_name,tier
Jean-Marc Vallée,1
Tony Kaye,1
Victor Salva,1
Joe Carnahan,1
Charles Herman-Wurmfeld,1
Boaz Yakin,1
Michael Hoffman,1
Neil Marshall,1
Lars von Trier,1
Jared Hess,1
Fernando Meirelles,1
Victor Fleming,1
Jodie Foster,1
Rupert Wyatt,1
Lewis Gilbert,1
George Sidney,1
Daniel Espinosa,1
Randal Kleiser,1
Jeff Wadlow,1
Gary Ross,1
Pete Docter,1
Davis Guggenheim,1
Kathryn Bigelow,1
Charles Ferguson,1
Thor Freudenthal,1
Niki Caro,1
Richard Kelly,1
Gurinder Chadha,1
John Schlesinger,1
Mimi Leder,1
Brian Trenchard-Smith,1
Anthony Minghella,1
Jean-Marie Poiré,1
Stefan Ruzowitzky,1
Barbet Schroeder,1
Kar-Wai Wong,1
Douglas McGrath,1
Dean DeBlois,1
Seth Gordon,1
Lee Daniels,1
Neil LaBute,1
Leonard Nimoy,1
Charles Martin Smith,1
Bruce McCulloch,1
Steve Pink,1
Bibo Bergeron,1
Chris Rock,1
Eli Roth,1
Robert Wise,1
Kevin Rodney Sullivan,1
John Hillcoat,1
Richard Benjamin,1
Pete Travis,1
Sergey Bodrov,1
Michael Ritchie,1
Patricia Riggen,1
Michael Schultz,1
James DeMonaco,1
Jon Avnet,1
Jon Gunn,1
Kevin Macdonald,1
Baltasar Kormákur,1
Ruben Fleischer,1
Mel Gibson,1
Len Wiseman,1
Josh Trank,1
John Pasquin,1
Seth MacFarlane,1
John Cameron Mitchell,1
José Padilha,1
Nicholas Hytner,1
Jane Campion,1
Jay Russell,1
Gina Prince-Bythewood,1
King Vidor,1
Brad Peyton,1
Elia Kazan,1
Tom Dey,1
Kasi Lemmons,1
Milos Forman,1
Ron Clements,1
Jesse Dylan,1
Breck Eisner,1
James L. Brooks,1
John Boorman,1
Scott Cooper,1
Gregory Hoblit,1
Kelly Reichardt,1
Marc Lawrence,1
Andrew Stanton,1
Frank Miller,1
Neill Blomkamp,1
Stephen Gaghan,1
Alan Parker,1
Jerry Zucker,1
Carl Franklin,1
Akiva Schaffer,1
Will Gluck,1
Tamra Davis,1
Don Bluth,1
Tony Gilroy,1
Glenn Ficarra,1
Anand Tucker,1
Howard Deutch,1
Walter Salles,1
Richard Loncraine,1
Michael Haneke,1
Jon Knautz,1
Shekhar Kapur,1
Dominic Sena,1
David Slade,1
James Cox,1
Michael Lehmann,1
David S. Goyer,1
Robert Iscove,1
Chan-wook Park,1
Joe Nussbaum,1
Franklin J. Schaffner,1
Robert Altman,1
John Wells,1
Michael Herz,1
Danny Leiner,1
Stanley Kramer,1
Julian Gilbey,1
Dwight H. Little,1
Guillaume Canet,1
Patricia Cardoso,1
Carol Reed,1
Nigel Cole,1
Ole Bornedal,1
Christopher Cain,1
Rachel Talalay,1
Carroll Ballard,1
Jack Smight,1
Ira Sachs,1
Howard Zieff,1
Steven Shainberg,1
Craig R. Baxley,1
Julian Jarrold,1
Dexter Fletcher,1
Darren Stein,1
Jill Sprecher,1
Ric Roman Waugh,1
Bill Paxton,1
Ben Wheatley,1
Don Michael Paul,1
Vic Sarin,1
Sylvain White,1
Vadim Perelman,1
Clare Kilner,1
Sheldon Lettich,1
Laurent Tirard,1
Gillian Armstrong,1
Camille Delamarre,1
Gaspar Noé,1
Pan Nalin,1
Tommy Lee Jones,1
Karen Moncrieff,1
Ben Falcone,1
Elizabeth Banks,1
Kurt Hale,1
Greg Harrison,1
Andrew Dominik,1
Nicholas Meyer,1
Todd Field,1
Joe Swanberg,1
Steve Boyum,1
Michael Radford,1
Niels Arden Oplev,1
Tom Holland,1
Andy Cadiff,1
Jee-woon Kim,1
Morten Tyldum,1
Robert Greenwald,1
Richard Eyre,1
Callie Khouri,1
Kenneth Lonergan,1
Tamara Jenkins,1
Fred Wolf,1
Bernardo Bertolucci,1
John Polson,1
Chris Kentis,1
Steve Buscemi,1
Yash Chopra,1
Ted Post,1
James Watkins,1
Stuart Gordon,1
Scott Marshall,1
Bob Rafelson,1
Sanaa Hamri,1
William Gazecki,1
Kevin Allen,1
Stewart Raffill,1
Adam Rifkin,1
Jamie Blanks,1
E. Elias Merhige,1
Colin Trevorrow,1
Philip Kaufman,1
Todd Graff,1
Jake Schreier,1
Marco Kreuzpaintner,1
Akira Kurosawa,1
Werner Herzog,1
Michael Landon Jr.,1
Hao Ning,1
Kevin Tancharoen,1
Dan Curtis,1
Chris Koch,1
Elizabeth Allen Rosenbaum,1
Stacy Peralta,1
Joel Edgerton,1
George Hickenlooper,1
Ti West,1
Olivier Assayas,1
Bart Freundlich,1
Steve Rash,1
William Dear,1
Martin McDonagh,1
David Hackl,1
Mary Lambert,1
Pawel Pawlikowski,1
Courtney Solomon,1
Thomas Bezucha,1
John Turturro,1
Martin Ritt,1
Eric Valette,1
Nelson McCormick,1
Victor Nunez,1
Steve Beck,1
Sean McNamara,1
Craig Brewer,1
Karan Johar,1
Léa Pool,1
Katsuhiro Ôtomo,1
Stephan Elliott,1
Mike Nawrocki,1
Mark Rosman,1
Leslie Small,1
Salim Akil,1
Paul Gross,1
Michael Dowse,1
Douglas Aarniokoski,1
Daniel Barnz,1
Derek Cianfrance,1
Lone Scherfig,1
Billy Ray,1
Alejandro Monteverde,1
Shane Black,1
Glen Morgan,1
Mike Cahill,1
Joseph Zito,1
